    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0         5e-07        0.1125      0.112501      0.042705       0.52015       1.07167         0.001      0.288678   0.000379404   6.66935e-07   0.000493234     0.0004942          0.15      0.195728      0.116314       2.33286     -0.332865          0.15      0.195728      0.116314       2.33286     -0.332865  -1.13526e-07
 1.06383    2.5592e-07     0.0989357     0.0989359     0.0392553      0.498687      0.999976    0.00071543      0.288675   0.000315562   2.91485e-07   0.000371685    0.00037675      0.140667      0.199495      0.124633       2.24991     -0.249932      0.149904      0.195765      0.116401       2.33182      -0.33201  -4.21017e-12
 2.12766   2.13961e-07     0.0844138     0.0844141     0.0392553      0.499135      0.999989   0.000654157      0.288675   0.000315584   2.50152e-07   0.000310175   0.000317833      0.129934      0.204268      0.134198       2.15455     -0.154561      0.149785      0.195811      0.116507       2.33082     -0.330955   3.86608e-13
 3.19149   1.84252e-07     0.0720235     0.0720237     0.0392552      0.499316      0.999989   0.000607045      0.288675   0.000315706     2.207e-07    0.00026425   0.000274087       0.12002       0.20907      0.143034       2.06646     -0.066466      0.149666      0.195857      0.116613       2.32979     -0.329903   1.81823e-11
 4.04255   1.66004e-07     0.0634341     0.0634343     0.0392552      0.499409      0.999989   0.000576202      0.288675   0.000315817   2.02492e-07    0.00023336   0.000244726      0.112636      0.212876      0.149615       2.00085  -0.000855249      0.149571      0.195893      0.116697       2.32896     -0.329063    4.2299e-11
 5.10638   1.48361e-07     0.0541232     0.0541234     0.0392552      0.499498      0.999988   0.000544721      0.288675   0.000315978   1.84764e-07   0.000199858   0.000212909      0.104042      0.217538      0.157275       1.92448     0.0755114      0.149452      0.195939      0.116803       2.32792     -0.328016   8.70007e-11
 6.17021    1.3513e-07      0.046179     0.0461791     0.0392552      0.499571      0.999988   0.000519865      0.288675    0.00031619    1.7135e-07   0.000170905   0.000185421      0.096103      0.222053       0.16435       1.85394      0.146051      0.149334      0.195985      0.116909       2.32687     -0.326973   1.55803e-10
 7.02128   1.26992e-07     0.0406717     0.0406719     0.0392552      0.499622      0.999988   0.000503968      0.288675   0.000316417   1.63017e-07   0.000150516   0.000166066     0.0901906      0.225539      0.169619       1.80141      0.198588      0.149239      0.196022      0.116993       2.32603     -0.326142   2.36195e-10
 8.08511   1.19186e-07     0.0347019      0.034702     0.0392552      0.499678      0.999988   0.000488233      0.288675   0.000316808    1.5493e-07   0.000128035   0.000144726      0.083309      0.229721      0.175752       1.74026      0.259736       0.14912      0.196067      0.117099       2.32499     -0.325111    3.8577e-10
 9.14894   1.13429e-07     0.0296083     0.0296085     0.0392552      0.499726      0.999988   0.000476295      0.288675   0.000317377   1.48865e-07   0.000108476   0.000126159     0.0769524      0.233697      0.181417       1.68378       0.31622      0.149002      0.196113      0.117204       2.32394     -0.324091   6.17023e-10
      10    1.0998e-07     0.0260773     0.0260774     0.0392552       0.49976      0.999988      0.000469      0.288675   0.000318015   1.45159e-07   9.46726e-05   0.000113057     0.0722181      0.236726      0.185637       1.64171      0.358287      0.148908       0.19615      0.117288        2.3231     -0.323285   8.88505e-10
 11.0638   1.06829e-07     0.0222497     0.0222498     0.0392552      0.499797      0.999987   0.000462232      0.288675   0.000319141   1.41674e-07   7.94421e-05   9.85997e-05     0.0667078      0.240321      0.190548       1.59275      0.407251      0.148789      0.196196      0.117394       2.32205     -0.322299   1.38799e-09
 12.1277   1.04746e-07     0.0189838      0.018984     0.0392552       0.49983      0.999987   0.000457703      0.288675   0.000320794   1.39248e-07    6.6187e-05   8.60175e-05     0.0616179      0.243705      0.195084       1.54752       0.45248      0.148671      0.196242      0.117499       2.32101     -0.321345   2.15308e-09
 13.1915   1.03594e-07     0.0161974     0.0161975     0.0392552      0.499859      0.999987   0.000455179      0.288675   0.000323234   1.37742e-07   5.46509e-05   7.50671e-05     0.0569164      0.246883      0.199274       1.50574      0.494257      0.148553      0.196288      0.117604       2.31996      -0.32044   3.33065e-09
 14.0426   1.03318e-07     0.0142657     0.0142658     0.0392552      0.499879      0.999987   0.000454573      0.288675   0.000326018   1.37171e-07   4.65088e-05   6.73384e-05     0.0534149      0.249282      0.202395       1.47463      0.525373      0.148459      0.196325      0.117688       2.31913     -0.319768   4.72408e-09
 15.1064   1.03848e-07     0.0121718     0.0121719     0.0392552      0.499901      0.999987   0.000455736      0.288675   0.000331044   1.37309e-07   3.75246e-05   5.88103e-05     0.0493393      0.252106      0.206027       1.43841      0.561591      0.148341      0.196371      0.117793       2.31808     -0.319027   7.33409e-09
 16.1702   1.05567e-07     0.0103853     0.0103854     0.0392552       0.49992      0.999987   0.000459493      0.288675   0.000338634   1.38597e-07   2.97056e-05   5.13881e-05     0.0455748      0.254744      0.209382       1.40496      0.595046      0.148224      0.196417      0.117898       2.31704     -0.318453   1.14473e-08
 17.0213   1.08094e-07    0.00914683    0.00914694     0.0392552      0.499934      0.999987   0.000464961      0.288675    0.00034744   1.40738e-07    2.4187e-05   4.61497e-05     0.0427711      0.256728      0.211881       1.38005      0.619966       0.14813      0.196453      0.117982        2.3162     -0.318177   1.64259e-08
 18.0851   1.13339e-07    0.00780437    0.00780448     0.0392552      0.499949      0.999987   0.000476106      0.288675   0.000363493   1.45422e-07   1.80976e-05   4.03694e-05     0.0395079      0.259055       0.21479       1.35105      0.648974      0.148012        0.1965      0.118087       2.31516     -0.318186   2.59806e-08
 19.1489   1.22108e-07    0.00665903    0.00665915     0.0392553      0.499962      0.999987   0.000494183      0.288675   0.000387723   1.53509e-07   1.27979e-05   3.53387e-05     0.0364939      0.261223      0.217476       1.32427      0.675777      0.147895      0.196546      0.118192       2.31412      -0.31881   4.14462e-08
      20   1.33065e-07    0.00586512    0.00586526     0.0392553      0.499971      0.999987   0.000515878      0.288675   0.000415489   1.63795e-07   9.05748e-06    3.1788e-05     0.0342495      0.262848      0.219477       1.30432      0.695747      0.147801      0.196583      0.118275       2.31328     -0.320001   6.06096e-08
 21.0638   1.54582e-07     0.0050047    0.00500485     0.0392553      0.499981      0.999987   0.000556026      0.288675   0.000464778   1.84257e-07   4.93022e-06   2.78702e-05     0.0316376      0.264752      0.221805        1.2811      0.719009      0.147683      0.196629       0.11838       2.31224     -0.322861   9.82648e-08
 22.1277   1.90124e-07    0.00427086    0.00427105     0.0392553       0.49999      0.999987   0.000616642      0.288675   0.000536044   2.18412e-07   1.33825e-06   2.44604e-05     0.0292262       0.26652      0.223956       1.25965      0.740527      0.147566      0.196675      0.118485        2.3112     -0.328155   1.60756e-07
 23.1915   2.49231e-07    0.00364523    0.00364548     0.0392554      0.499998      0.999987   0.000706018      0.288675   0.000636961   2.75673e-07  -1.78782e-06   2.14927e-05     0.0270009      0.268163      0.225942       1.23984      0.760459      0.147449      0.196721       0.11859       2.31016     -0.337492   2.65317e-07
 24.0426   3.24146e-07    0.00321211    0.00321244     0.0392555      0.500003      0.999987   0.000805165      0.288675   0.000745409    3.4867e-07  -3.99409e-06   1.93982e-05     0.0253461      0.269392      0.227421       1.22508      0.775368      0.147355      0.196758      0.118675       2.30933     -0.349641   3.98571e-07
 25.1064   4.74663e-07    0.00274381    0.00274429     0.0392557      0.500009      0.999986   0.000974334      0.288676   0.000925602   4.96071e-07  -6.42844e-06    1.7087e-05     0.0234257      0.270827      0.229141       1.20791      0.792858      0.147237      0.196804      0.118781       2.30829     -0.374324   6.67733e-07
 26.1702   7.30276e-07    0.00234646    0.00234719      0.039256      0.500014      0.999986    0.00120853      0.288677    0.00116962    7.4756e-07  -8.54692e-06   1.50756e-05     0.0216631      0.272159      0.230728       1.19205      0.809266      0.147119       0.19685      0.118889       2.30726      -0.41628   1.12725e-06
 27.0213   1.06006e-06    0.00207364     0.0020747     0.0392563      0.500017      0.999985    0.00145606      0.288679    0.00142393   1.07318e-06   -1.0042e-05   1.36559e-05     0.0203649      0.273153      0.231908       1.18024      0.821793      0.147025      0.196887      0.118976       2.30643     -0.470081   1.72258e-06
