    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0    0.00101009     0.0886567     0.0896668     0.0156712       0.49387      0.987741     0.0449463      0.293647     0.0448925   0.000528615             0             0      0.133159      0.239595      0.160222        1.7048       1.70852      0.182121      0.173654     0.0935746       2.79312      -2.87171    0.00149522
 1.16279    0.00104372      0.089507     0.0905507     0.0157115      0.493801      0.987603     0.0456886      0.293781     0.0456343   0.000555824   1.14132e-08   -3.5705e-10      0.133796      0.239825      0.160114       1.70306       1.75633      0.181846      0.173676     0.0937928       2.79307      -2.92923    0.00154348
 2.09302    0.00108153     0.0907556     0.0918371     0.0157565      0.493727      0.987454     0.0465087       0.29393     0.0464539    0.00058545  -1.19001e-08  -4.42733e-09      0.134726          0.24      0.159817       1.70328       1.80731       0.18159      0.173697     0.0940084       2.79302       -2.8436     0.0015953
 3.02326    0.00112281     0.0924145     0.0935373      0.015805      0.493649      0.987297     0.0473879       0.29409     0.0473327   0.000616582  -1.92372e-09   -1.1155e-08      0.135952      0.240115      0.159327       1.70568       1.86012      0.181357      0.173719     0.0942171       2.79297       -2.5595    0.00164873
 4.18605    0.00117668     0.0950413      0.096218     0.0158672      0.493556       0.98711     0.0485114      0.294296     0.0484559   0.000654955   6.32173e-08   -1.9076e-08       0.13787      0.240169      0.158454       1.71204       1.92509      0.181114      0.173746     0.0944554       2.79291      -1.86082     0.0017131
 5.11628    0.00121881     0.0975339     0.0987527     0.0159146      0.493493      0.986984     0.0493722      0.294453     0.0493168   0.000682593   1.37669e-07  -2.33618e-08      0.139667       0.24014      0.157569       1.71998       1.97295      0.180973      0.173767     0.0946163       2.79288      -1.01525    0.00175848
 6.04651    0.00125733      0.100297      0.101554     0.0159568      0.493447      0.986892     0.0501463      0.294593     0.0500913    0.00070516   2.13678e-07   -2.5541e-08      0.141631      0.240048       0.15655       1.73043       2.01437       0.18089      0.173788      0.094741       2.79287      0.046073    0.00179507
  7.2093    0.00129696      0.103981      0.105278     0.0159983       0.49342      0.986839     0.0509306       0.29473     0.0508763   0.000723791   2.85462e-07  -2.57714e-08      0.144209      0.239855      0.155143       1.74666       2.05418      0.180877      0.173812     0.0948358       2.79289       1.55112     0.0018255
 8.13953    0.00132005      0.106977      0.108297     0.0160207      0.493426      0.986852     0.0513819      0.294805     0.0513284   0.000730242   3.02533e-07  -2.45566e-08      0.146272      0.239651      0.153964       1.76157       2.07534      0.180942      0.173829     0.0948596       2.79293       2.77498    0.00183709
 9.06977    0.00133497      0.109894      0.111229     0.0160333      0.493456      0.986915     0.0516715      0.294845      0.051619   0.000729605    2.6829e-07  -2.26205e-08      0.148253      0.239415       0.15278       1.77745       2.08713       0.18107      0.173843     0.0948383       2.79299       3.91813    0.00183843
