    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0    0.00100988     0.0900092      0.091019     0.0158565      0.494009      0.988018     0.0449417      0.293612     0.0448904   0.000527274   2.41265e-15             0      0.134171      0.239583      0.159721       1.71121       1.69877      0.182235      0.173741     0.0935422       2.78997      -2.36386    0.00150108
 1.16279    0.00104013     0.0906755     0.0917156     0.0158932      0.493947      0.987895     0.0456099      0.293732     0.0455581   0.000552208   1.12892e-08  -3.67176e-10      0.134667      0.239815      0.159682         1.709       1.74219      0.181976      0.173762     0.0937436       2.78993      -2.44151    0.00154544
 2.09302    0.00107438     0.0917181     0.0927924     0.0159347      0.493879      0.987759     0.0463548      0.293867     0.0463025   0.000579495  -1.16339e-08  -4.43121e-09      0.135439      0.239995      0.159465       1.70862       1.78874      0.181731      0.173783     0.0939437       2.78989      -2.40249    0.00159345
 3.02326    0.00111206     0.0931475     0.0942595     0.0159798      0.493808      0.987614     0.0471607      0.294014      0.047108   0.000608393  -1.00273e-09  -1.10635e-08       0.13649      0.240121      0.159068       1.71026       1.83729      0.181505      0.173804     0.0941394       2.78985      -2.20424    0.00164349
 4.18605    0.00116187     0.0954604     0.0966223     0.0160383      0.493721       0.98744     0.0482051      0.294205     0.0481522   0.000644628   6.40505e-08  -1.87836e-08      0.138174      0.240198      0.158324       1.71542       1.89782      0.181264      0.173831     0.0943673        2.7898      -1.67871    0.00170498
 5.11628    0.00120159     0.0976907     0.0988923     0.0160839      0.493661      0.987319     0.0490222      0.294354     0.0489693   0.000671536   1.37651e-07  -2.29089e-08      0.139779      0.240192      0.157549       1.72219       1.94335      0.181116      0.173852     0.0945265       2.78976      -1.01663    0.00174973
 6.04651    0.00123886      0.100196      0.101435     0.0161257      0.493615      0.987228     0.0497767       0.29449     0.0497239   0.000694534   2.12435e-07  -2.49666e-08       0.14156      0.240128      0.156639       1.73129       1.98382      0.181017      0.173873     0.0946564       2.78974     -0.154188    0.00178745
  7.2093     0.0012788      0.103588      0.104867     0.0161687      0.493586       0.98717     0.0505728       0.29463     0.0505207   0.000715322   2.82672e-07  -2.51178e-08      0.143936      0.239973       0.15536       1.74568        2.0244      0.180973      0.173896     0.0947674       2.78975       1.12794    0.00182147
 8.13953    0.00130348       0.10639      0.107694     0.0161937      0.493587      0.987174     0.0510584      0.294711      0.051007   0.000724421   2.98827e-07  -2.38922e-08       0.14587        0.2398      0.154271       1.75913       2.04739      0.181007      0.173914     0.0948101       2.78978        2.2231    0.00183702
 9.06977    0.00132078       0.10916       0.11048     0.0162096      0.493611      0.987223      0.051396      0.294761     0.0513456   0.000726722   2.64186e-07  -2.19782e-08      0.147756      0.239594      0.153164       1.77369       2.06163        0.1811      0.173929     0.0948112       2.78982        3.2904    0.00184251
