     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)    <T>(y=0)        L2(S')         L2(S)    <S>(y=0)
    0.00113331      0.113859      0.114993       1.10788      0.487122      0.974243      0.047609      0.295704     0.0473851   0.000631847             0             0      0.150903      0.219727      0.134138      0.183324      0.173797     0.0932219
     0.0011334      0.113869      0.115002       1.10789      0.487119      0.974239     0.0476109      0.295705     0.0473869   0.000631933             0             0       0.15091      0.219721       0.13413      0.183327      0.173795     0.0932195
    0.00113337      0.113866         0.115       1.10788       0.48712       0.97424     0.0476103      0.295705     0.0473863   0.000631893             0             0      0.150908      0.219722      0.134132      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476103      0.295705     0.0473864   0.000631898             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864   0.000631899             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
    0.00113337      0.113867         0.115       1.10788       0.48712       0.97424     0.0476104      0.295705     0.0473864     0.0006319             0             0      0.150908      0.219722      0.134131      0.183327      0.173794     0.0932193
