     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
    0.00107752      0.111122        0.1122    0.00276296      0.485705       0.97141     0.0464224      0.295892     0.0461314   0.000603857   6.43543e-15             0      0.149079      0.217726      0.133417       1.97085       1.96909      0.180898      0.175822       0.09532       2.72189       2.71895    0.00111828
     0.0010782      0.111164      0.112242     0.0027631      0.485712      0.971424      0.046437      0.295892     0.0461464   0.000604423   6.32266e-15             0      0.149106      0.217732      0.133408       1.97101       1.97123      0.180919      0.175807      0.095303       2.72224       2.72001    0.00111961
    0.00107794      0.111143      0.112221    0.00276301      0.485715      0.971429     0.0464315       0.29589     0.0461409   0.000604071  -1.89138e-14             0      0.149093      0.217738       0.13342       1.97088       1.97088      0.180916      0.175806     0.0953039       2.72237       2.72171    0.00111925
    0.00107794      0.111143      0.112221    0.00276301      0.485715       0.97143     0.0464314       0.29589     0.0461409   0.000604069             0             0      0.149093      0.217738       0.13342       1.97088       1.97088      0.180916      0.175806     0.0953039       2.72237       2.72172    0.00111925
    0.00107794      0.111143      0.112221    0.00276301      0.485715       0.97143     0.0464314       0.29589     0.0461409   0.000604069             0             0      0.149093      0.217738       0.13342       1.97088       1.97088      0.180916      0.175806     0.0953039       2.72237       2.72172    0.00111925
    0.00107794      0.111143      0.112221    0.00276301      0.485715       0.97143     0.0464314       0.29589     0.0461409   0.000604069             0             0      0.149093      0.217738       0.13342       1.97088       1.97088      0.180916      0.175806     0.0953039       2.72237       2.72172    0.00111925
    0.00107734       0.11105      0.112128    0.00276281      0.485726      0.971453     0.0464186      0.295886     0.0461284   0.000603064  -6.44191e-13             0       0.14903      0.217779      0.133481       1.97002       1.97022      0.180882      0.175825     0.0953304       2.72195       2.71924    0.00111841
    0.00107723      0.111045      0.112123    0.00276277      0.485727      0.971455     0.0464162      0.295885     0.0461261   0.000602917             0             0      0.149027       0.21778      0.133484       1.97001       1.97001      0.180879      0.175831     0.0953343       2.72156       2.72155    0.00111823
    0.00107723      0.111045      0.112123    0.00276277      0.485727      0.971455     0.0464162      0.295885     0.0461261   0.000602915             0             0      0.149027       0.21778      0.133484          1.97          1.97      0.180879      0.175831     0.0953343       2.72156       2.72156    0.00111822
    0.00107723      0.111045      0.112123    0.00276277      0.485727      0.971455     0.0464162      0.295885     0.0461261   0.000602915             0             0      0.149027       0.21778      0.133484          1.97          1.97      0.180879      0.175831     0.0953343       2.72156       2.72156    0.00111822
