     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
   0.000665434     0.0434509     0.0441163      0.039354      0.506842       1.01369     0.0364811      0.289612      0.036417   0.000894876   4.61538e-06  -1.72296e-05     0.0932211      0.268478      0.208439       1.33025       1.24642      0.157955      0.192695       0.11599       2.32039       1.98658    0.00147327
   0.000764701     0.0482569     0.0490216     0.0396285       0.50701       1.01402     0.0391076      0.289922     0.0390408    0.00102947   6.30774e-07  -1.48769e-05     0.0982414      0.269688      0.208125       1.33576       1.34592      0.160338      0.191548      0.115464       2.36953       2.20921    0.00168038
    0.00076266     0.0481439     0.0489066     0.0396225      0.506993       1.01399     0.0390553      0.289918     0.0389889    0.00102672   3.82183e-07  -1.55913e-05     0.0981264      0.269704      0.208201       1.33537       1.34476       0.16028      0.191592      0.115466       2.36884       2.22091    0.00167581
   0.000753096     0.0477825     0.0485356     0.0395886      0.506995       1.01399     0.0388097      0.289885      0.038743    0.00101312   6.08283e-07  -1.47522e-05     0.0977573      0.269523      0.208152       1.33595       1.33505      0.160131      0.191459      0.115356       2.36967       2.43288    0.00164775
   0.000754119     0.0478231     0.0485772     0.0395922      0.507003       1.01401      0.038836      0.289887     0.0387701    0.00101466   5.95991e-07  -1.48097e-05     0.0977989      0.269509      0.208112        1.3362       1.33566      0.160179       0.19143      0.115355       2.37038       2.37512    0.00165055
    0.00075309     0.0477699     0.0485229     0.0395884      0.507007       1.01402     0.0388095      0.289882     0.0387441    0.00101331   6.75886e-07  -1.47928e-05     0.0977444       0.26949      0.208105       1.33611       1.33469      0.160159      0.191413      0.115362       2.37033       2.36491    0.00164746
    0.00075292     0.0477625     0.0485154     0.0395879      0.507007       1.01402     0.0388052      0.289882     0.0387399     0.0010131   7.22059e-07  -1.48227e-05     0.0977369      0.269489      0.208102       1.33606        1.3346       0.16016       0.19141      0.115364       2.37031        2.3611    0.00164703
   0.000752884     0.0477605     0.0485134     0.0395878      0.507007       1.01402     0.0388042      0.289881      0.038739    0.00101305   7.22616e-07  -1.48211e-05     0.0977349      0.269488      0.208102       1.33606       1.33457       0.16016      0.191409      0.115364       2.37032       2.36091    0.00164694
   0.000752883     0.0477604     0.0485133     0.0395878      0.507007       1.01402     0.0388042      0.289881      0.038739    0.00101305   7.22532e-07   -1.4821e-05     0.0977348      0.269488      0.208102       1.33606       1.33457       0.16016      0.191409      0.115364       2.37032       2.36092    0.00164693
   0.000752883     0.0477604     0.0485133     0.0395878      0.507007       1.01402     0.0388042      0.289881      0.038739    0.00101305   7.22537e-07   -1.4821e-05     0.0977348      0.269488      0.208102       1.33606       1.33457       0.16016      0.191409      0.115364       2.37032       2.36092    0.00164693
   0.000752883     0.0477604     0.0485133     0.0395878      0.507007       1.01402     0.0388042      0.289881      0.038739    0.00101305   7.22539e-07   -1.4821e-05     0.0977348      0.269488      0.208102       1.33606       1.33457       0.16016      0.191409      0.115364       2.37032       2.36092    0.00164693
   0.000752883     0.0477604     0.0485133     0.0395878      0.507007       1.01402     0.0388042      0.289881      0.038739    0.00101305   7.22539e-07   -1.4821e-05     0.0977348      0.269488      0.208102       1.33606       1.33457       0.16016      0.191409      0.115364       2.37032       2.36092    0.00164693
