    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0   0.000752943     0.0477621      0.048515      0.039588      0.507008       1.01402     0.0388057      0.289882     0.0387402    0.00101312    4.1836e-07   -1.4487e-05     0.0977365      0.269491      0.208124       1.33601       1.33464      0.160153      0.191411      0.115532       2.36983       2.35744    0.00164713
 1.05882   0.000753133     0.0477661     0.0485192     0.0395883      0.507009       1.01402     0.0388107      0.289882     0.0387445    0.00101332    2.4766e-07  -1.43359e-05     0.0977406      0.269489      0.208139       1.33614       1.33461      0.160142      0.191414      0.115533       2.36995        2.3704    0.00164737
       2    0.00075337       0.04777     0.0485234     0.0395887      0.507011       1.01402     0.0388168      0.289883     0.0387499    0.00101359   8.12223e-08  -1.41836e-05     0.0977446      0.269488      0.208155       1.33626       1.33462      0.160132      0.191416      0.115532       2.37009       2.38112    0.00164771
 3.05882   0.000753714     0.0477755     0.0485293     0.0395894      0.507013       1.01403     0.0388256      0.289883     0.0387579    0.00101401  -1.03342e-07  -1.40083e-05     0.0977502      0.269488      0.208174       1.33638        1.3347      0.160121      0.191419       0.11553       2.37027       2.39035    0.00164825
       4   0.000754101     0.0477824     0.0485365     0.0395902      0.507016       1.01403     0.0388356      0.289884     0.0387671     0.0010145  -2.65057e-07   -1.3849e-05     0.0977572      0.269489       0.20819       1.33649       1.33484      0.160111      0.191422      0.115528       2.37045       2.39592     0.0016489
 5.05882   0.000754634     0.0477931     0.0485477     0.0395914       0.50702       1.01404     0.0388493      0.289885       0.03878     0.0010152  -4.44395e-07  -1.36662e-05     0.0977682       0.26949      0.208209       1.33661       1.33506        0.1601      0.191425      0.115525       2.37067       2.39928    0.00164984
       6   0.000755196     0.0478057     0.0485609     0.0395927      0.507024       1.01405     0.0388638      0.289887     0.0387936    0.00101594  -6.01804e-07  -1.35012e-05     0.0977811      0.269492      0.208224       1.33674        1.3353      0.160091      0.191427      0.115522       2.37089       2.39994    0.00165084
 7.05882   0.000755922     0.0478238     0.0485797     0.0395943      0.507029       1.01406     0.0388824      0.289888     0.0388113     0.0010169  -7.77589e-07  -1.33139e-05     0.0977995      0.269493      0.208239       1.33689       1.33563      0.160081       0.19143      0.115519       2.37116       2.39852    0.00165216
       8   0.000756639     0.0478431     0.0485998     0.0395961      0.507035       1.01407     0.0389009      0.289889     0.0388289    0.00101786  -9.34119e-07  -1.31469e-05     0.0978194      0.269495      0.208251       1.33704       1.33595      0.160072      0.191433      0.115516       2.37142       2.39591    0.00165347
 9.05882   0.000757512     0.0478684     0.0486259     0.0395982      0.507042       1.01409     0.0389233      0.289891     0.0388504    0.00101902  -1.11283e-06  -1.29597e-05     0.0978452      0.269495      0.208262       1.33723       1.33633      0.160062      0.191436      0.115514       2.37172       2.39224    0.00165507
      10   0.000758331     0.0478935     0.0486519     0.0396002      0.507049        1.0141     0.0389443      0.289893     0.0388706    0.00102011  -1.27629e-06  -1.27948e-05     0.0978709      0.269495       0.20827       1.33742       1.33668      0.160053      0.191439      0.115512       2.37202       2.38903    0.00165657
 11.0588   0.000759281     0.0479241     0.0486834     0.0396025      0.507057       1.01412     0.0389687      0.289895      0.038894    0.00102137  -1.46797e-06   -1.2612e-05     0.0979021      0.269494      0.208278       1.33766       1.33707      0.160043      0.191442       0.11551       2.37236       2.38626    0.00165831
      12   0.000760136     0.0479526     0.0487127     0.0396046      0.507064       1.01413     0.0389907      0.289896     0.0389151    0.00102249  -1.64715e-06  -1.24525e-05     0.0979312      0.269493      0.208283       1.33788        1.3374      0.160035      0.191444      0.115509       2.37268       2.38511    0.00165986
 13.0588   0.000761093     0.0479854     0.0487465      0.039607      0.507073       1.01415     0.0390152      0.289898     0.0389388    0.00102375  -1.86014e-06   -1.2277e-05     0.0979647       0.26949      0.208288       1.33816       1.33776      0.160025      0.191447      0.115508       2.37307        2.3857    0.00166158
      14    0.00076193     0.0480146     0.0487766      0.039609       0.50708       1.01416     0.0390366      0.289899     0.0389594    0.00102484  -2.06018e-06   -1.2125e-05     0.0979945      0.269487      0.208292       1.33841       1.33804      0.160016      0.191449      0.115506       2.37342       2.38806    0.00166306
 15.0588   0.000762846     0.0480469     0.0488098     0.0396113      0.507088       1.01418     0.0390601      0.289901      0.038982    0.00102603  -2.29722e-06  -1.19589e-05     0.0980275      0.269484      0.208296       1.33871       1.33834      0.160006      0.191452      0.115504       2.37384       2.39274    0.00166467
      16   0.000763637     0.0480747     0.0488383     0.0396132      0.507095       1.01419     0.0390803      0.289902     0.0390016    0.00102704  -2.51803e-06  -1.18158e-05     0.0980558       0.26948        0.2083       1.33898       1.33858      0.159998      0.191454      0.115502       2.37422       2.39844    0.00166604
 17.0588   0.000764501     0.0481046     0.0488691     0.0396152      0.507103       1.01421     0.0391025      0.289904     0.0390229    0.00102815  -2.77683e-06  -1.16598e-05     0.0980863      0.269476      0.208305        1.3393       1.33883      0.159988      0.191457      0.115499       2.37467       2.40613    0.00166752
      18   0.000765254     0.0481299     0.0488952      0.039617       0.50711       1.01422     0.0391217      0.289905     0.0390415    0.00102911  -3.01516e-06  -1.15253e-05     0.0981121      0.269472      0.208311       1.33958       1.33903      0.159979      0.191459      0.115495       2.37508       2.41358    0.00166879
 19.0588   0.000766095     0.0481573     0.0489234      0.039619      0.507117       1.01424     0.0391432      0.289907     0.0390623    0.00103018   -3.2915e-06  -1.13779e-05       0.09814      0.269468      0.208317       1.33989       1.33927       0.15997      0.191461       0.11549       2.37556       2.42196     0.0016702
      20   0.000766849     0.0481808     0.0489476     0.0396207      0.507123       1.01425     0.0391625      0.289908     0.0390809    0.00103114  -3.54357e-06  -1.12497e-05     0.0981639      0.269465      0.208324       1.34017       1.33948      0.159962      0.191463      0.115485         2.376       2.42881    0.00167147
 21.0588   0.000767721     0.0482069     0.0489746     0.0396227      0.507131       1.01427     0.0391847       0.28991     0.0391025    0.00103225  -3.83344e-06  -1.11075e-05     0.0981905      0.269461      0.208332       1.34049       1.33974      0.159953      0.191466      0.115479       2.37651       2.43518    0.00167294
      22   0.000768531     0.0482302     0.0489988     0.0396246      0.507138       1.01428     0.0392054      0.289912     0.0391226    0.00103329  -4.09599e-06  -1.09821e-05     0.0982143      0.269458       0.20834       1.34077       1.33999      0.159945      0.191468      0.115473       2.37697       2.43922    0.00167431
 23.0588   0.000769496     0.0482574     0.0490269     0.0396268      0.507146        1.0143       0.03923      0.289913     0.0391465    0.00103453  -4.39616e-06  -1.08413e-05     0.0982419      0.269455      0.208349       1.34109       1.34031      0.159936       0.19147      0.115465       2.37751       2.44152    0.00167597
      24   0.000770412     0.0482828     0.0490532     0.0396289      0.507153       1.01431     0.0392533      0.289915     0.0391693    0.00103572  -4.66682e-06  -1.07159e-05     0.0982678      0.269452      0.208357       1.34139       1.34063      0.159928      0.191471      0.115459       2.37799       2.44138    0.00167756
 25.0588   0.000771518     0.0483134      0.049085     0.0396315      0.507162       1.01433     0.0392815      0.289917     0.0391967    0.00103715  -4.97544e-06   -1.0574e-05      0.098299      0.269449      0.208365       1.34172       1.34104      0.159919      0.191473      0.115452       2.37855        2.4387     0.0016795
      26   0.000772572     0.0483429     0.0491155      0.039634      0.507171       1.01435     0.0393083      0.289919      0.039223    0.00103853  -5.25358e-06  -1.04473e-05     0.0983289      0.269447      0.208372       1.34203       1.34143      0.159911      0.191475      0.115446       2.37906       2.43414    0.00168137
 27.0588   0.000773839     0.0483789     0.0491528      0.039637      0.507181       1.01437     0.0393405      0.289922     0.0392545    0.00104018  -5.57141e-06  -1.03043e-05     0.0983656      0.269443      0.208378        1.3424       1.34191      0.159902      0.191477       0.11544       2.37964       2.42678    0.00168365
      28   0.000775038     0.0484137     0.0491887     0.0396399      0.507191       1.01439      0.039371      0.289924     0.0392844    0.00104175  -5.85916e-06  -1.01772e-05     0.0984009       0.26944      0.208382       1.34274       1.34238      0.159893      0.191478      0.115436       2.38017       2.41856    0.00168583
 29.0588   0.000776463     0.0484559     0.0492323     0.0396434      0.507203       1.01441     0.0394072      0.289927     0.0393199    0.00104361  -6.19009e-06   -1.0035e-05     0.0984438      0.269435      0.208386       1.34314       1.34293      0.159883      0.191479      0.115432       2.38077       2.40781    0.00168844
      30   0.000777793     0.0484961     0.0492739     0.0396466      0.507214       1.01443     0.0394409      0.289929     0.0393531    0.00104534  -6.49189e-06  -9.90989e-06     0.0984847      0.269431      0.208387       1.34351       1.34344      0.159874      0.191481       0.11543       2.38132       2.39734    0.00169088
 31.0588   0.000779352     0.0485444     0.0493237     0.0396504      0.507227       1.01446     0.0394804      0.289932     0.0393919    0.00104737  -6.84139e-06  -9.77178e-06     0.0985336      0.269425      0.208387       1.34395       1.34404      0.159863      0.191482      0.115428       2.38195       2.38496    0.00169377
      32   0.000780786     0.0485896     0.0493704      0.039654      0.507239       1.01448     0.0395167      0.289935     0.0394277    0.00104923  -7.16185e-06  -9.65229e-06     0.0985796      0.269419      0.208386       1.34437       1.34458      0.159853      0.191483      0.115429       2.38251       2.37379    0.00169644
 33.0588   0.000782445      0.048643     0.0494254     0.0396581      0.507252       1.01451     0.0395587      0.289938      0.039469    0.00105138  -7.53404e-06  -9.52281e-06     0.0986336      0.269412      0.208383       1.34485        1.3452      0.159841      0.191484       0.11543       2.38316        2.3614    0.00169955
      34   0.000783954     0.0486922     0.0494762     0.0396619      0.507265       1.01453     0.0395968      0.289941     0.0395066    0.00105332  -7.87539e-06  -9.41322e-06     0.0986836      0.269405      0.208379        1.3453       1.34575       0.15983      0.191484      0.115433       2.38375       2.35075    0.00170238
 35.0588   0.000785683     0.0487495     0.0495352     0.0396662      0.507279       1.01456     0.0396404      0.289944     0.0395496    0.00105555   -8.2708e-06  -9.29747e-06     0.0987416      0.269395      0.208374       1.34582       1.34638      0.159816      0.191485      0.115437       2.38442       2.33935    0.00170564
      36   0.000787242     0.0488017     0.0495889     0.0396701      0.507292       1.01459     0.0396798      0.289947     0.0395884    0.00105754  -8.63159e-06  -9.20234e-06     0.0987944      0.269387      0.208368        1.3463       1.34693      0.159803      0.191485      0.115442       2.38502        2.3298    0.00170859
 37.0588   0.000789016     0.0488618     0.0496508     0.0396746      0.507307       1.01462     0.0397245       0.28995     0.0396325     0.0010598  -9.04651e-06  -9.10519e-06     0.0988552      0.269376       0.20836       1.34685       1.34756      0.159788      0.191486      0.115449       2.38571       2.31971    0.00171195
      38   0.000790609     0.0489161     0.0497067     0.0396786       0.50732       1.01465     0.0397645      0.289954     0.0396721    0.00106182  -9.42181e-06  -9.02839e-06     0.0989102      0.269367      0.208353       1.34736       1.34812      0.159773      0.191486      0.115456       2.38634       2.31127    0.00171498
 39.0588   0.000792416     0.0489783     0.0497707     0.0396831      0.507335       1.01468     0.0398099      0.289957      0.039717    0.00106411  -9.84918e-06  -8.95344e-06     0.0989731      0.269355      0.208345       1.34793       1.34875      0.159756      0.191486      0.115465       2.38705        2.3023    0.00171843
      40   0.000794034     0.0490345     0.0498285     0.0396872      0.507348        1.0147     0.0398506       0.28996     0.0397571    0.00106614  -1.02316e-05  -8.89735e-06     0.0990298      0.269344      0.208336       1.34845       1.34932       0.15974      0.191486      0.115473       2.38768       2.29469    0.00172152
 41.0588   0.000795867     0.0490986     0.0498944     0.0396918      0.507363       1.01473     0.0398965      0.289964     0.0398026    0.00106844  -1.06624e-05  -8.84626e-06     0.0990945      0.269332      0.208327       1.34905       1.34996       0.15972      0.191486      0.115484       2.38841       2.28646    0.00172503
      42   0.000797507     0.0491564     0.0499539     0.0396959      0.507377       1.01476     0.0399376      0.289967     0.0398432    0.00107049  -1.10435e-05  -8.81149e-06     0.0991528      0.269321      0.208317       1.34958       1.35054      0.159703      0.191485      0.115495       2.38907       2.27934    0.00172818
 43.0588   0.000799364     0.0492225     0.0500219     0.0397006      0.507391       1.01479     0.0399841       0.28997     0.0398892    0.00107279  -1.14678e-05  -8.78409e-06     0.0992195      0.269308      0.208306       1.35019       1.35121      0.159682      0.191485      0.115507       2.38981        2.2715    0.00173176
      44   0.000801025     0.0492823     0.0500833     0.0397048      0.507404       1.01481     0.0400256      0.289974     0.0399303    0.00107485   -1.1839e-05  -8.76984e-06     0.0992797      0.269296      0.208296       1.35073       1.35181      0.159662      0.191484       0.11552       2.39048       2.26461    0.00173496
 45.0588   0.000802906     0.0493507     0.0501536     0.0397095      0.507419       1.01484     0.0400726      0.289977     0.0399768    0.00107717  -1.22477e-05  -8.76472e-06     0.0993486      0.269283      0.208284       1.35134       1.35251       0.15964      0.191483      0.115534       2.39124       2.25692    0.00173859
      46   0.000804587     0.0494128     0.0502174     0.0397137      0.507432       1.01487     0.0401145      0.289981     0.0400184    0.00107923  -1.26013e-05  -8.76945e-06      0.099411       0.26927      0.208272       1.35189       1.35314      0.159619      0.191482      0.115548       2.39192       2.25009    0.00174185
 47.0588   0.000806489      0.049484     0.0502905     0.0397185      0.507447        1.0149     0.0401619      0.289985     0.0400654    0.00108156  -1.29866e-05  -8.78469e-06     0.0994827      0.269256      0.208257       1.35251       1.35387      0.159595      0.191481      0.115564       2.39269        2.2424    0.00174553
      48   0.000808187     0.0495486     0.0503568     0.0397227       0.50746       1.01492     0.0402041      0.289988     0.0401074    0.00108362  -1.33165e-05  -8.80666e-06     0.0995476      0.269243      0.208243       1.35306       1.35453      0.159573       0.19148      0.115579       2.39337       2.23553    0.00174883
 49.0588   0.000810103     0.0496229      0.050433     0.0397275      0.507474       1.01495     0.0402518      0.289992     0.0401547    0.00108595  -1.36725e-05  -8.84036e-06     0.0996222      0.269228      0.208226       1.35368       1.35529      0.159548      0.191478      0.115597       2.39415       2.22778    0.00175255
      50    0.00081181     0.0496904     0.0505022     0.0397317      0.507487       1.01498     0.0402942      0.289996     0.0401969    0.00108801  -1.39746e-05  -8.87794e-06     0.0996899      0.269215      0.208209       1.35423       1.35599      0.159525      0.191476      0.115614       2.39484       2.22086    0.00175587
 51.0588    0.00081373     0.0497679     0.0505817     0.0397365      0.507501       1.01501     0.0403418          0.29     0.0402444    0.00109032  -1.42974e-05  -8.92838e-06     0.0997677      0.269199      0.208189       1.35485       1.35679        0.1595      0.191474      0.115634       2.39562       2.21311     0.0017596
      52   0.000815433     0.0498383     0.0506537     0.0397408      0.507513       1.01503      0.040384      0.290003     0.0402865    0.00109236  -1.45689e-05   -8.9801e-06     0.0998382      0.269185      0.208169       1.35541       1.35751      0.159477      0.191472      0.115652       2.39631       2.20631    0.00176291
 53.0588   0.000817338      0.049919     0.0507363     0.0397455      0.507527       1.01506     0.0404311      0.290007     0.0403335    0.00109463  -1.48565e-05  -9.04565e-06     0.0999189      0.269168      0.208144       1.35603       1.35833       0.15945       0.19147      0.115674       2.39709       2.19885     0.0017666
      54   0.000819014      0.049992      0.050811     0.0397497      0.507539       1.01508     0.0404726      0.290011      0.040375    0.00109663  -1.50962e-05   -9.1101e-06      0.099992      0.269152      0.208121       1.35659       1.35906      0.159427      0.191467      0.115694       2.39778       2.19253    0.00176985
 55.0588   0.000820872     0.0500753     0.0508962     0.0397543      0.507553       1.01511     0.0405185      0.290015      0.040421    0.00109883  -1.53476e-05  -9.18916e-06      0.100075      0.269134      0.208092       1.35721       1.35989      0.159401      0.191464      0.115717       2.39856       2.18593    0.00177344
      56    0.00082249     0.0501502     0.0509727     0.0397583      0.507565       1.01513     0.0405584      0.290018      0.040461    0.00110074   -1.5555e-05  -9.26495e-06       0.10015      0.269117      0.208064       1.35776       1.36062      0.159379      0.191461      0.115738       2.39924        2.1807    0.00177655
 57.0588   0.000824259     0.0502352     0.0510594     0.0397627      0.507578       1.01516     0.0406019      0.290022     0.0405048    0.00110281    -1.577e-05  -9.35612e-06      0.100235      0.269098      0.208031       1.35837       1.36144      0.159354      0.191457      0.115763           2.4       2.17575    0.00177993
      58   0.000825774     0.0503109     0.0511366     0.0397664      0.507589       1.01518     0.0406392      0.290025     0.0405423    0.00110458  -1.59449e-05  -9.44223e-06       0.10031       0.26908         0.208       1.35891       1.36215      0.159333      0.191454      0.115785       2.40068       2.17238     0.0017828
 59.0588   0.000827397     0.0503958     0.0512231     0.0397704      0.507601        1.0152     0.0406792      0.290028     0.0405826    0.00110647  -1.61233e-05  -9.54478e-06      0.100395      0.269059      0.207963       1.35951       1.36292      0.159309      0.191449      0.115811       2.40142       2.16995    0.00178586
      60   0.000828755     0.0504705     0.0512992     0.0397738      0.507611       1.01522     0.0407125      0.290031     0.0406163    0.00110804  -1.62655e-05  -9.64113e-06      0.100469       0.26904      0.207928       1.36002       1.36357       0.15929      0.191445      0.115834       2.40208       2.16916    0.00178839
 61.0588   0.000830169     0.0505531     0.0513833     0.0397772      0.507622       1.01525     0.0407473      0.290034     0.0406515    0.00110966  -1.64072e-05  -9.75583e-06      0.100552      0.269019      0.207888       1.36059       1.36427      0.159269       0.19144       0.11586       2.40281       2.16996    0.00179099
      62   0.000831311     0.0506247      0.051456       0.03978      0.507631       1.01526     0.0407753      0.290036       0.04068    0.00111096  -1.65166e-05  -9.86402e-06      0.100623      0.268999      0.207851       1.36107       1.36484      0.159252      0.191435      0.115883       2.40344       2.17224    0.00179306
 63.0588   0.000832449     0.0507022     0.0515347     0.0397828       0.50764       1.01528     0.0408032      0.290038     0.0407085    0.00111224  -1.66214e-05  -9.99385e-06        0.1007      0.268977      0.207808       1.36159       1.36541      0.159235      0.191429      0.115908       2.40414       2.17656    0.00179507
      64   0.000833315      0.050768     0.0516013     0.0397849      0.507647       1.01529     0.0408244       0.29004     0.0407303     0.0011132  -1.66981e-05  -1.01177e-05      0.100765      0.268957       0.20777       1.36203       1.36587      0.159222      0.191424       0.11593       2.40475       2.18193    0.00179655
 65.0588   0.000834111     0.0508375     0.0516716     0.0397869      0.507654       1.01531     0.0408439      0.290041     0.0407504    0.00111407  -1.67661e-05  -1.02682e-05      0.100834      0.268934      0.207727       1.36248        1.3663      0.159209      0.191417      0.115955       2.40542       2.18963    0.00179785
      66   0.000834647     0.0508946     0.0517292     0.0397881      0.507659       1.01532      0.040857      0.290042     0.0407642    0.00111463  -1.68103e-05  -1.04136e-05      0.100891      0.268914      0.207689       1.36285        1.3666        0.1592      0.191411      0.115976       2.40599       2.19792    0.00179865
