    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0   0.000646052     0.0421335     0.0427796     0.0393065      0.506037       1.01207     0.0359458      0.289703     0.0358972   0.000867839   3.04106e-06  -6.84709e-06     0.0917971      0.271496      0.212308       1.29507       1.29116      0.153674      0.196846       0.12113       2.25633       2.16605    0.00143613
 1.05882   0.000645233     0.0420752     0.0427204     0.0393013      0.506026       1.01205      0.035923      0.289702     0.0358746   0.000866685   2.95237e-06  -6.93088e-06     0.0917335      0.271515      0.212346       1.29457         1.291      0.153618      0.196815      0.121139       2.25607       2.16519    0.00143356
       2   0.000644777     0.0420291     0.0426739     0.0392996      0.506019       1.01204     0.0359104      0.289702     0.0358618   0.000866057   2.86246e-06  -7.00245e-06     0.0916833      0.271533      0.212379       1.29413       1.29107      0.153578      0.196795      0.121148        2.2558       2.15827    0.00143267
 3.05882   0.000644707     0.0419944     0.0426392      0.039299      0.506014       1.01203     0.0359084      0.289702     0.0358596   0.000865976   2.76411e-06  -7.07158e-06     0.0916455      0.271552      0.212409        1.2937        1.2914      0.153542      0.196781       0.12116       2.25549       2.15129    0.00143266
       4   0.000645044     0.0419812     0.0426262     0.0392997      0.506013       1.01203     0.0359178      0.289703     0.0358685   0.000866456   2.68313e-06  -7.12535e-06      0.091631      0.271567      0.212428        1.2934       1.29192      0.153514      0.196772       0.12117       2.25521       2.13499    0.00143354
 5.05882   0.000645833     0.0419872     0.0426331     0.0393016      0.506016       1.01203     0.0359398      0.289705     0.0358898   0.000867558   2.60306e-06  -7.17929e-06     0.0916376      0.271582      0.212439       1.29316       1.29272      0.153486      0.196765      0.121186       2.25488       2.08708    0.00143544
       6   0.000646842     0.0420112      0.042658     0.0393043      0.506023       1.01205     0.0359678      0.289707     0.0359171   0.000868945   2.54495e-06  -7.22279e-06     0.0916637      0.271592      0.212439       1.29305       1.29357      0.153462      0.196761      0.121206       2.25459       2.06233    0.00143777
 7.05882   0.000648232     0.0420572     0.0427054     0.0393081      0.506032       1.01207     0.0360064       0.28971     0.0359547   0.000870828   2.49764e-06  -7.26826e-06     0.0917139      0.271599      0.212427       1.29304       1.29461      0.153437      0.196757      0.121227       2.25426       2.01188    0.00144091
       8   0.000649611     0.0421124     0.0427621     0.0393119      0.506043       1.01209     0.0360447      0.289713      0.035992   0.000872666   2.47251e-06  -7.30735e-06     0.0917741      0.271601      0.212408       1.29313       1.29555      0.153416      0.196756      0.121253       2.25396       2.00358    0.00144396
 9.05882   0.000651228      0.042187     0.0428382     0.0393164      0.506056       1.01211     0.0360896      0.289715     0.0360357   0.000874784   2.45947e-06  -7.35222e-06     0.0918553      0.271599      0.212376       1.29333       1.29655      0.153393      0.196755      0.121285       2.25363       1.92058    0.00144746
      10   0.000652653     0.0422606     0.0429132     0.0393204      0.506068       1.01214      0.036129      0.289718      0.036074   0.000876614   2.45339e-06  -7.39356e-06     0.0919354      0.271593      0.212341       1.29359       1.29734      0.153373      0.196755      0.121319       2.25334       1.91442    0.00145047
 11.0588   0.000654173     0.0423473     0.0430015     0.0393246      0.506082       1.01216     0.0361711      0.289721     0.0361149   0.000878526   2.43977e-06  -7.43894e-06     0.0920297      0.271581      0.212297       1.29397       1.29808      0.153352      0.196755      0.121356       2.25302       1.92316    0.00145362
      12   0.000655412     0.0424246       0.04308      0.039328      0.506093       1.01219     0.0362053      0.289723      0.036148   0.000880048   2.41087e-06  -7.47353e-06     0.0921137      0.271568      0.212255       1.29436       1.29859      0.153334      0.196756      0.121389       2.25274       1.93705    0.00145614
 13.0588   0.000656657     0.0425087     0.0431653     0.0393315      0.506104       1.01221     0.0362397      0.289725     0.0361811   0.000881538    2.3506e-06  -7.50076e-06     0.0922049      0.271551      0.212208       1.29485       1.29902      0.153315      0.196757      0.121422       2.25244       1.97799    0.00145863
      14   0.000657627     0.0425787     0.0432364     0.0393341      0.506113       1.01223     0.0362664      0.289726     0.0362067   0.000882667   2.26902e-06  -7.51267e-06     0.0922808      0.271534      0.212167       1.29531       1.29928      0.153298      0.196758      0.121448       2.25218        1.9969    0.00146054
 15.0588   0.000658576     0.0426508     0.0433094     0.0393366      0.506122       1.01225     0.0362926      0.289728     0.0362314   0.000883733    2.1466e-06  -7.51382e-06     0.0923588      0.271514      0.212125       1.29584       1.29945      0.153281      0.196759      0.121475        2.2519       2.03897    0.00146237
      16   0.000659305     0.0427082     0.0433675     0.0393385      0.506128       1.01226     0.0363127      0.289729     0.0362501   0.000884518   2.01504e-06  -7.50755e-06      0.092421      0.271496      0.212091       1.29631       1.29951      0.153267      0.196759      0.121494       2.25167        2.0684    0.00146373
 17.0588   0.000660021     0.0427654     0.0434254     0.0393403      0.506134       1.01227     0.0363324      0.289731     0.0362682   0.000885252   1.85076e-06  -7.49682e-06     0.0924829      0.271477      0.212058       1.29684       1.29952      0.153252       0.19676      0.121513       2.25142       2.09441    0.00146501
      18   0.000660596     0.0428103     0.0434708     0.0393417      0.506139       1.01228     0.0363482      0.289732     0.0362825   0.000885816   1.70196e-06  -7.48635e-06     0.0925313      0.271462      0.212033       1.29729        1.2995       0.15324      0.196761      0.121527       2.25122       2.13683    0.00146601
 19.0588   0.000661213     0.0428552     0.0435165     0.0393431      0.506144       1.01229     0.0363652      0.289733     0.0362975   0.000886412   1.54765e-06   -7.4735e-06       0.09258      0.271446      0.212012       1.29779       1.29949      0.153228      0.196762      0.121536       2.25101        2.2102    0.00146707
      20   0.000661776     0.0428919     0.0435537     0.0393443      0.506148        1.0123     0.0363807      0.289735     0.0363112   0.000886966   1.43473e-06  -7.45897e-06     0.0926195      0.271433      0.211997       1.29821       1.29953      0.153218      0.196763      0.121537       2.25085       2.25301    0.00146804
 21.0588    0.00066248     0.0429314     0.0435939     0.0393458      0.506153       1.01231        0.0364      0.289736     0.0363283   0.000887697   1.34474e-06  -7.43586e-06     0.0926622      0.271422      0.211984       1.29866       1.29965      0.153209      0.196764      0.121536       2.25069       2.28166    0.00146928
      22   0.000663216     0.0429672     0.0436304     0.0393474      0.506158       1.01232     0.0364202      0.289738     0.0363465   0.000888515   1.29972e-06  -7.40788e-06     0.0927008      0.271413      0.211975       1.29906       1.29988      0.153202      0.196764      0.121531       2.25057       2.31879    0.00147062
 23.0588   0.000664224     0.0430105     0.0436747     0.0393496      0.506164       1.01233     0.0364479      0.289741     0.0363717   0.000889705   1.28209e-06  -7.36935e-06     0.0927475      0.271405      0.211966       1.29949       1.30028      0.153196      0.196765      0.121521       2.25046       2.35375    0.00147251
      24   0.000665314     0.0430539     0.0437192     0.0393521      0.506171       1.01234     0.0364778      0.289743     0.0363993   0.000891053   1.28383e-06  -7.33183e-06     0.0927943      0.271399      0.211958       1.29988       1.30078      0.153192      0.196766       0.12151       2.25038       2.36249     0.0014746
 25.0588    0.00066678     0.0431102      0.043777     0.0393556      0.506181       1.01236     0.0365179      0.289746     0.0364369   0.000892924   1.28816e-06  -7.28902e-06     0.0928549      0.271393      0.211947       1.30033        1.3015      0.153188      0.196767      0.121498       2.25032       2.35391    0.00147746
      26   0.000668295     0.0431679     0.0438362     0.0393593      0.506191       1.01238     0.0365594       0.28975     0.0364759   0.000894895   1.28165e-06  -7.25016e-06      0.092917      0.271387      0.211933       1.30076       1.30226      0.153186      0.196767      0.121488       2.25029       2.34466    0.00148043
 27.0588   0.000670207     0.0432419     0.0439121      0.039364      0.506205       1.01241     0.0366117      0.289753     0.0365253   0.000897408   1.25511e-06   -7.2011e-06     0.0929967       0.27138      0.211914       1.30129       1.30322      0.153184      0.196768      0.121478       2.25027       2.34068    0.00148418
      28   0.000672047     0.0433154     0.0439874     0.0393686      0.506219       1.01244     0.0366619      0.289757      0.036573   0.000899833   1.21468e-06  -7.14763e-06     0.0930756      0.271372      0.211893        1.3018       1.30412      0.153183      0.196768      0.121469       2.25029        2.3406    0.00148777
