    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0         5e-07        0.1125      0.112501     0.0269174      0.513027        1.0317         0.001      0.288678   0.000378807   6.67248e-07    0.00049324   0.000494589          0.15      0.195728      0.116314       2.33286     -0.332865          0.15      0.195728      0.116314       2.33286     -0.332865  -6.47411e-08
 1.11111   2.73345e-07      0.103894      0.103894     0.0247307      0.498311      0.999949   0.000739385      0.288676    0.00031448   3.08961e-07   0.000397494   0.000402144      0.144148      0.198047       0.12153       2.28084     -0.280867       0.14994      0.195751      0.116368       2.33209     -0.332337  -8.08414e-12
 2.22222   2.37956e-07     0.0935512     0.0935515     0.0247307      0.498903      0.999972   0.000689864      0.288676   0.000314571   2.74446e-07   0.000345917   0.000353192      0.136785      0.201168      0.128092       2.21543     -0.215443      0.149862      0.195781      0.116438       2.33147     -0.331644  -3.67526e-13
 3.05556    2.1808e-07      0.086476     0.0864762     0.0247307      0.499085      0.999973   0.000660425      0.288676   0.000314777      2.55e-07   0.000316406    0.00032542      0.131511      0.203538      0.132793       2.16857     -0.168578      0.149803      0.195804      0.116491       2.33098     -0.331128   1.36164e-11
 4.16667    1.9636e-07     0.0778676     0.0778677     0.0247307      0.499231       0.99997   0.000626673      0.288676   0.000315121   2.33626e-07   0.000283098   0.000294247      0.124794      0.206712      0.138779       2.10888     -0.108889      0.149724      0.195834      0.116561        2.3303     -0.330445   5.68662e-11
       5   1.82733e-07     0.0719784     0.0719786     0.0247307      0.499306      0.999968   0.000604537      0.288676   0.000315415   2.20132e-07   0.000261121    0.00027375      0.119982      0.209089      0.143068       2.06612    -0.0661322      0.149665      0.195857      0.116613       2.32979     -0.329939   1.04172e-10
 6.11111   1.67426e-07     0.0648132     0.0648134     0.0247306      0.499385      0.999966   0.000578665      0.288677   0.000315899   2.04879e-07   0.000234729   0.000249182      0.113854      0.212235       0.14853       2.01167    -0.0116763      0.149587      0.195887      0.116683        2.3291     -0.329274   2.03731e-10
 7.22222   1.54875e-07     0.0583612     0.0583614     0.0247306      0.499449      0.999965   0.000556552      0.288677   0.000316582   1.92265e-07   0.000211003   0.000227122      0.108038       0.21534      0.153713          1.96     0.0399982      0.149509      0.195917      0.116753       2.32841     -0.328627   3.72455e-10
 8.05556   1.47007e-07     0.0539474     0.0539475     0.0247306      0.499492      0.999964   0.000542231      0.288677     0.0003173   1.84284e-07   0.000194692   0.000211965      0.103872      0.217632      0.157425       1.92298     0.0770145       0.14945       0.19594      0.116805       2.32789     -0.328159   5.70702e-10
 9.16667   1.38315e-07     0.0485771     0.0485772     0.0247306      0.499542      0.999963   0.000525957      0.288677   0.000318689   1.75358e-07   0.000174686   0.000193378     0.0985668      0.220631      0.162154       1.87584      0.124159      0.149371       0.19597      0.116875        2.3272     -0.327572   9.86956e-10
      10   1.33014e-07     0.0449032     0.0449033     0.0247306      0.499577      0.999963   0.000515779      0.288677   0.000320204   1.69818e-07   0.000160866    0.00018054     0.0947663      0.222832      0.165541       1.84207      0.157931      0.149313      0.195993      0.116927       2.32669     -0.327171   1.46926e-09
