     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
   7.37489e-07   4.00622e-05   4.07997e-05       0.01323      0.500019       1.00004    0.00121449      0.288673    0.00121447   7.75483e-07             0             0    0.00283062      0.288552      0.249799       1.00096      0.998531    0.00826532      0.284827      0.243538        1.0273      0.821949   4.83645e-07
   7.47735e-07   3.97498e-05   4.04975e-05       0.01323      0.500017       1.00003    0.00122289      0.288674    0.00122288   7.93639e-07   1.21815e-13             0    0.00281957      0.288547      0.249797       1.00106       0.99892    0.00835327      0.284805      0.243477       1.02686      0.798844   5.57217e-07
   7.67908e-07   3.99372e-05   4.07051e-05       0.01323      0.500015       1.00003    0.00123928      0.288674    0.00123927   8.21094e-07  -1.06455e-12             0    0.00282621      0.288542      0.249794       1.00116      0.999292     0.0084489      0.284784      0.243416       1.02709      0.778794   6.32706e-07
   7.88394e-07   4.03994e-05   4.11878e-05       0.01323      0.500015       1.00003     0.0012557      0.288674    0.00125569   8.46492e-07  -2.41726e-13             0    0.00284251      0.288537      0.249791       1.00122      0.999535    0.00852192       0.28477      0.243371       1.02681      0.765851    6.8806e-07
   8.14405e-07   4.12792e-05   4.20936e-05       0.01323      0.500014       1.00003    0.00127625      0.288675    0.00127624   8.77144e-07  -4.88538e-13             0     0.0028733      0.288534      0.249787       1.00128      0.999753    0.00860249      0.284756      0.243323       1.02682      0.754827    7.4151e-07
   8.35649e-07   4.20841e-05   4.29198e-05     0.0132301      0.500014       1.00003    0.00129279      0.288675    0.00129278   9.01391e-07  -2.36347e-13             0    0.00290118      0.288531      0.249785       1.00131      0.999886    0.00866211      0.284747      0.243288        1.0269      0.747719   7.77889e-07
   8.59971e-07   4.30389e-05   4.38988e-05     0.0132301      0.500014       1.00003    0.00131147      0.288675    0.00131146   9.28726e-07   1.72958e-14             0     0.0029339      0.288529      0.249781       1.00135       1.00001    0.00872648      0.284737      0.243251       1.02681      0.740659    8.1578e-07
   8.87217e-07   4.41819e-05   4.50692e-05     0.0132301      0.500013       1.00003    0.00133208      0.288675    0.00133207   9.59199e-07  -2.23687e-13             0    0.00297261      0.288526      0.249778       1.00138       1.00014    0.00879619      0.284727      0.243212       1.02691      0.734899   8.55579e-07
   9.17947e-07   4.55104e-05   4.64284e-05     0.0132302      0.500014       1.00003    0.00135495      0.288675    0.00135494   9.93331e-07  -4.27934e-13             0    0.00301697      0.288523      0.249774       1.00141       1.00025    0.00887156      0.284716       0.24317       1.02698      0.729656   8.97796e-07
   9.52479e-07   4.70423e-05   4.79947e-05     0.0132302      0.500014       1.00003     0.0013802      0.288675    0.00138019   1.03153e-06  -4.64982e-13             0    0.00306732       0.28852      0.249769       1.00144       1.00037    0.00895306      0.284705      0.243127       1.02708       0.72528    9.4294e-07
   9.91181e-07   4.87741e-05   4.97653e-05     0.0132303      0.500014       1.00003    0.00140796      0.288675    0.00140795   1.07436e-06  -1.18074e-13             0    0.00312327      0.288517      0.249765       1.00147       1.00049    0.00904104      0.284693       0.24308       1.02701       0.72184   9.93006e-07
   1.02034e-06   5.00826e-05    5.1103e-05     0.0132303      0.500014       1.00003    0.00142852      0.288675    0.00142851   1.10664e-06  -3.11551e-14             0    0.00316489      0.288515      0.249761       1.00149       1.00057    0.00910474      0.284685      0.243048       1.02697      0.720031   1.03002e-06
   1.05175e-06   5.14916e-05   5.25433e-05     0.0132303      0.500014       1.00003    0.00145035      0.288675    0.00145034   1.14142e-06  -8.53127e-14             0     0.0032091      0.288513      0.249757       1.00151       1.00065    0.00917162      0.284677      0.243014       1.02684      0.718747    1.0696e-06
   1.08559e-06   5.30119e-05   5.40975e-05     0.0132304      0.500015       1.00003    0.00147349      0.288675    0.00147348   1.17889e-06  -3.74141e-13             0    0.00325613       0.28851      0.249753       1.00153       1.00074    0.00924178      0.284669      0.242978       1.02677      0.718146   1.11162e-06
   1.12188e-06   5.46454e-05   5.57673e-05     0.0132304      0.500015       1.00003    0.00149792      0.288675    0.00149791   1.21905e-06  -1.32257e-13             0    0.00330592      0.288508      0.249749       1.00154       1.00082    0.00931526       0.28466      0.242942       1.02665      0.718279    1.1562e-06
   1.16079e-06   5.64054e-05   5.75662e-05     0.0132305      0.500015       1.00003    0.00152367      0.288676    0.00152366   1.26205e-06  -2.27176e-15             0    0.00335873      0.288506      0.249744       1.00156       1.00091     0.0093921      0.284651      0.242904       1.02658      0.719295   1.20305e-06
   1.20241e-06   5.83079e-05   5.95104e-05     0.0132305      0.500016       1.00003    0.00155075      0.288676    0.00155074   1.30791e-06  -4.51458e-14             0    0.00341491      0.288503      0.249739       1.00158       1.00099    0.00947232      0.284641      0.242865       1.02658      0.721284   1.25172e-06
   1.24676e-06   6.03555e-05   6.16022e-05     0.0132306      0.500016       1.00003    0.00157909      0.288676    0.00157908   1.35665e-06   1.23148e-13             0    0.00347435      0.288499      0.249733        1.0016       1.00108    0.00955586      0.284631      0.242824       1.02658      0.724346   1.30257e-06
   1.29384e-06   6.25479e-05   6.38417e-05     0.0132307      0.500017       1.00003    0.00160863      0.288676    0.00160861   1.40821e-06   1.21625e-13             0    0.00353689      0.288496      0.249726       1.00163       1.00116    0.00964257       0.28462      0.242782       1.02662      0.728515   1.35586e-06
   1.34371e-06   6.48872e-05   6.62309e-05     0.0132307      0.500017       1.00003    0.00163934      0.288676    0.00163932   1.46272e-06   1.54224e-13             0    0.00360242      0.288492      0.249719       1.00166       1.00124    0.00973232       0.28461      0.242738       1.02672      0.733868   1.41175e-06
    1.3967e-06   6.73902e-05   6.87869e-05     0.0132308      0.500018       1.00004    0.00167135      0.288676    0.00167133   1.52061e-06   1.31458e-13             0    0.00367124      0.288488      0.249712       1.00169       1.00133    0.00982521      0.284598      0.242693       1.02683      0.740742   1.47026e-06
   1.43773e-06    6.9342e-05   7.07797e-05     0.0132309      0.500019       1.00004    0.00169572      0.288676    0.00169571   1.56536e-06   1.14752e-13             0    0.00372403      0.288484      0.249705       1.00171       1.00139    0.00989555      0.284589      0.242659       1.02695      0.746713   1.51509e-06
   1.48042e-06   7.13734e-05   7.28538e-05     0.0132309      0.500019       1.00004    0.00172071      0.288676     0.0017207    1.6119e-06   1.72557e-13             0    0.00377818      0.288481      0.249699       1.00174       1.00145    0.00996727      0.284581      0.242625       1.02701      0.753378   1.56169e-06
   1.52467e-06   7.34985e-05   7.50232e-05      0.013231       0.50002       1.00004    0.00174624      0.288676    0.00174622   1.66007e-06   1.39535e-13             0    0.00383402      0.288477      0.249692       1.00177       1.00151     0.0100404      0.284571      0.242589       1.02716        0.7609   1.60938e-06
   1.57052e-06   7.57067e-05   7.72772e-05     0.0132311       0.50002       1.00004     0.0017723      0.288676    0.00177228   1.70994e-06   2.24671e-13             0    0.00389119      0.288473      0.249685        1.0018       1.00157     0.0101146      0.284562      0.242554        1.0273      0.769165   1.65854e-06
   1.61792e-06   7.79941e-05    7.9612e-05     0.0132311      0.500021       1.00004    0.00179884      0.288676    0.00179883   1.76148e-06   1.51156e-13             0    0.00394953      0.288468      0.249678       1.00183       1.00163       0.01019      0.284552      0.242517       1.02745      0.778161   1.70918e-06
   1.66682e-06   8.03556e-05   8.20225e-05     0.0132312      0.500022       1.00004    0.00182583      0.288676    0.00182581   1.81466e-06   1.69514e-13             0    0.00400888      0.288464       0.24967       1.00186       1.00169     0.0102662      0.284542       0.24248       1.02758      0.787866   1.76127e-06
   1.71709e-06   8.27884e-05   8.45055e-05     0.0132313      0.500023       1.00005    0.00185315      0.288676    0.00185314   1.86932e-06   7.57094e-14             0    0.00406911       0.28846      0.249662       1.00189       1.00175     0.0103431      0.284532      0.242443       1.02772      0.798278   1.81459e-06
   1.76865e-06   8.52823e-05   8.70509e-05     0.0132313      0.500023       1.00005    0.00188077      0.288676    0.00188075   1.92541e-06   9.90624e-14             0    0.00412995      0.288455      0.249654       1.00192       1.00181     0.0104205      0.284522      0.242405       1.02784      0.809316   1.86917e-06
   2.83413e-06   0.000138767   0.000141601     0.0132327      0.500036       1.00007    0.00238081      0.288676    0.00238078   3.09755e-06   3.89939e-12             0    0.00526814      0.288375      0.249506       1.00249       1.00366     0.0148998      0.281662      0.238209       1.05057       1.08195   2.93462e-06
   2.47277e-06   0.000121609   0.000124082     0.0132322      0.500033       1.00007    0.00222386      0.288676    0.00222383   2.69743e-06   3.24773e-13             0    0.00493171      0.288398      0.249546       1.00229       1.00268     0.0142103      0.281924      0.238693       1.04869       1.03804   2.54075e-06
   2.51655e-06   0.000123195   0.000125712     0.0132323      0.500035       1.00007    0.00224346      0.288676    0.00224342   2.74943e-06  -1.16865e-13             0    0.00496378      0.288386      0.249527       1.00237       1.00237     0.0144478      0.281756      0.238452       1.04997       1.05001   2.58541e-06
   2.51631e-06   0.000123186   0.000125702     0.0132323      0.500035       1.00007    0.00224335      0.288676    0.00224332   2.74916e-06  -1.29787e-15             0    0.00496359      0.288386      0.249527       1.00237       1.00237     0.0144484      0.281755      0.238452       1.04997          1.05   2.58514e-06
    2.5163e-06   0.000123186   0.000125702     0.0132323      0.500035       1.00007    0.00224335      0.288676    0.00224331   2.74915e-06             0             0    0.00496358      0.288386      0.249527       1.00237       1.00237     0.0144484      0.281755      0.238452       1.04997          1.05   2.58513e-06
    2.5163e-06   0.000123186   0.000125702     0.0132323      0.500035       1.00007    0.00224335      0.288676    0.00224331   2.74915e-06             0             0    0.00496358      0.288386      0.249527       1.00237       1.00237     0.0144484      0.281755      0.238452       1.04997          1.05   2.58513e-06
