    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0    0.00107084       0.09055     0.0916208    0.00273953      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -1.62705e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
 1.16279    0.00111561     0.0920523     0.0931679    0.00274866       0.49247       0.98494     0.0472358      0.294347     0.0471587    0.00060896  -1.62902e-14             0      0.135685      0.236752      0.156377       1.73444       1.86977      0.181976      0.172806     0.0935595       2.82202      -3.92153    0.00156955
 2.09302    0.00116149      0.093937     0.0950985     0.0027579      0.492389      0.984779     0.0481973      0.294523       0.04812   0.000642933  -1.65427e-14             0      0.137067      0.236862      0.155803        1.7372       1.93121      0.181739      0.172826     0.0937835       2.82199      -3.23544    0.00162272
 3.02326    0.00120772     0.0962439     0.0974516    0.00276705      0.492305      0.984611     0.0491472        0.2947     0.0490698   0.000674803  -1.70047e-14             0       0.13874      0.236898      0.155033       1.74259       1.98979      0.181554      0.172847     0.0939764       2.82198      -2.13824    0.00167131
 4.18605    0.00126075     0.0996183      0.100879    0.00277723      0.492209      0.984417     0.0502144      0.294901     0.0501373    0.00070687  -1.76172e-14             0      0.141151      0.236837      0.153837        1.7534       2.05321      0.181417      0.172872     0.0941538       2.82198      -0.31448    0.00171907
 5.11628    0.00129565      0.102581      0.103877    0.00278363       0.49215        0.9843     0.0509048       0.29503      0.050828   0.000723653  -1.80283e-14             0      0.143235      0.236711      0.152741       1.76524       2.09298      0.181394      0.172891     0.0942351         2.822       1.29803    0.00174378
 6.04651      0.001322      0.105641      0.106963    0.00278813      0.492119      0.984239     0.0514198      0.295122     0.0513436   0.000732025   -1.8462e-14             0      0.145356      0.236527       0.15157       1.77949       2.12212      0.181449      0.172908     0.0942605       2.82204       2.87008    0.00175642
  7.2093    0.00134275      0.109417       0.11076    0.00279117      0.492128      0.984256     0.0518217      0.295185     0.0517468   0.000732326  -1.88878e-14             0       0.14793      0.236236      0.150069       1.79946        2.1445      0.181622      0.172928     0.0942192        2.8221       4.62516    0.00175817
 8.13953    0.00135083      0.112277      0.113628    0.00279188      0.492173      0.984346     0.0519774      0.295199     0.0519039     0.0007266   -1.9234e-14             0      0.149851       0.23597       0.14888       1.81603        2.1528      0.181833      0.172941     0.0941353       2.82216       5.80534    0.00175156
 9.06977    0.00135293      0.114919      0.116272    0.00279145      0.492245       0.98449     0.0520179      0.295188     0.0519459   0.000717448  -1.96178e-14             0      0.151604      0.235684      0.147732       1.83221       2.15423      0.182095      0.172951      0.094014       2.82221       6.77644    0.00174045
      10    0.00135053      0.117299       0.11865    0.00279021      0.492335      0.984671     0.0519717      0.295158     0.0519012   0.000706231  -1.98638e-14             0      0.153166      0.235386      0.146643        1.8474       2.15026      0.182398      0.172958     0.0938624       2.82225       7.55068    0.00172666
 11.1628    0.00134304      0.119872      0.121215     0.0027879      0.492461      0.984922     0.0518274      0.295103     0.0517588    0.00069076   -2.0074e-14             0      0.154837      0.235003      0.145385       1.86444       2.13959      0.182818      0.172962       0.09364       2.82229       8.27653    0.00170744
  12.093    0.00133459      0.121599      0.122934    0.00278567      0.492563      0.985125     0.0516641      0.295052      0.051597   0.000678005  -2.02297e-14             0      0.155948      0.234691      0.144468       1.87627       2.12773      0.183175       0.17296     0.0934426       2.82231       8.69704    0.00169136
 13.0233    0.00132465      0.123033      0.124357    0.00278322       0.49266      0.985319     0.0514714      0.294997     0.0514056   0.000665357  -2.03411e-14             0      0.156865      0.234376      0.143635       1.88645        2.1137      0.183543      0.172955     0.0932325       2.82231       9.00509    0.00167507
