     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
    0.00107081     0.0905363     0.0916071     0.0144961       0.49255        0.9851     0.0462775      0.294172     0.0462008   0.000574214  -9.25223e-15             0      0.134563      0.236582       0.15678       1.73378       1.80705      0.182263      0.172787     0.0933077       2.82198      -4.24728    0.00151395
     0.0010708     0.0905547     0.0916255     0.0144962      0.492544      0.985088     0.0462773      0.294174     0.0462005   0.000574192   2.76203e-11             0      0.134577      0.236559      0.156753       1.73407        1.8063      0.182268      0.172784     0.0933041       2.82204      -4.24602    0.00151359
    0.00107082     0.0905527     0.0916235     0.0144962      0.492544      0.985088     0.0462778      0.294174      0.046201   0.000574212  -1.24347e-12             0      0.134575      0.236561      0.156755       1.73404       1.80636      0.182267      0.172784     0.0933044       2.82208      -4.24734    0.00151364
    0.00107083     0.0905513     0.0916222     0.0144962      0.492544      0.985088     0.0462781      0.294174     0.0462012   0.000574221  -1.75027e-13             0      0.134574      0.236562      0.156757       1.73403       1.80639      0.182266      0.172784     0.0933048       2.82207      -4.24803    0.00151366
    0.00107083     0.0905506     0.0916215     0.0144962      0.492544      0.985089     0.0462781      0.294174     0.0462013   0.000574225   1.74434e-14             0      0.134574      0.236562      0.156757       1.73402        1.8064      0.182266      0.172784      0.093305       2.82207      -4.24837    0.00151367
    0.00107084     0.0905503     0.0916211     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462013   0.000574227  -1.33259e-13             0      0.134574      0.236563      0.156758       1.73402       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24853    0.00151368
    0.00107084     0.0905501      0.091621     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462013   0.000574228   7.25471e-14             0      0.134574      0.236563      0.156758       1.73402       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24861    0.00151368
    0.00107084     0.0905501     0.0916209     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462013   0.000574228   -2.4434e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24865    0.00151368
    0.00107084       0.09055     0.0916209     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462013   0.000574229   3.21387e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24867    0.00151368
    0.00107084       0.09055     0.0916209     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229   3.05935e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24868    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229   2.50028e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24868    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -7.49208e-15             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -4.04327e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -1.42499e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -2.19938e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -1.83437e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
    0.00107084       0.09055     0.0916208     0.0144962      0.492544      0.985089     0.0462782      0.294174     0.0462014   0.000574229  -1.62705e-14             0      0.134573      0.236563      0.156758       1.73401       1.80641      0.182266      0.172784     0.0933051       2.82207      -4.24869    0.00151368
