    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0    0.00109145     0.0915535     0.0926449    0.00274437      0.492348      0.984695     0.0467216      0.294292     0.0466414   0.000590195   2.73177e-14             0      0.135317      0.236124      0.155994       1.74026       1.83975      0.182203      0.172717     0.0933569       2.82445        -4.224    0.00153106
 1.16279    0.00113934     0.0932608     0.0944002    0.00275417      0.492267      0.984535     0.0477356      0.294478      0.047655   0.000626454   2.76334e-14             0      0.136573      0.236284      0.155516       1.74155       1.90584       0.18193      0.172739     0.0936042       2.82441      -3.71274    0.00158792
 2.09302    0.00118625     0.0953374     0.0965236    0.00276356      0.492176      0.984352     0.0487083       0.29466     0.0486275   0.000660141   2.82051e-14             0      0.138085       0.23636       0.15485        1.7453       1.96737      0.181716      0.172759     0.0938145       2.82439      -2.80079    0.00163931
 3.02326    0.00123166     0.0978129     0.0990445    0.00277246      0.492083      0.984167     0.0496318      0.294835     0.0495509    0.00069003   2.88385e-14             0      0.139866      0.236359      0.153998       1.75186       2.02385      0.181563      0.172779     0.0939863       2.82439       -1.4863    0.00168373
 4.18605    0.00128128      0.101336      0.102617    0.00278182      0.491985       0.98397     0.0506217      0.295023     0.0505409   0.000717752   2.96907e-14             0      0.142363      0.236254      0.152722       1.76422       2.08235      0.181474      0.172803     0.0941296        2.8244      0.502996    0.00172399
 5.11628    0.00131223      0.104352      0.105665    0.00278732      0.491933      0.983866     0.0512295      0.295136     0.0511492   0.000730495   3.02589e-14             0      0.144466      0.236096      0.151587       1.77721       2.11739      0.181492      0.172821     0.0941811       2.82444        2.1452    0.00174235
 6.04651    0.00133438      0.107407      0.108742     0.0027909      0.491914      0.983829       0.05166      0.295211     0.0515805    0.00073522   3.08919e-14             0      0.146565      0.235885      0.150398       1.79231       2.14191      0.181589      0.172837     0.0941776       2.82448       3.68194    0.00174949
  7.2093    0.00135048      0.111108      0.112459    0.00279297      0.491943      0.983885     0.0519708      0.295254     0.0518928   0.000732224    3.1363e-14             0      0.149069       0.23557      0.148897       1.81276       2.15937      0.181808      0.172856     0.0941039       2.82455       5.34634     0.0017464
 8.13953     0.0013557      0.113872      0.115227    0.00279311      0.492002      0.984004     0.0520711      0.295255     0.0519945   0.000724927   3.17426e-14             0      0.150912      0.235289      0.147723       1.82928        2.1646       0.18205      0.172867     0.0939978        2.8246        6.4419     0.0017375
 9.06977    0.00135572      0.116399      0.117754     0.0027923      0.492086      0.984171     0.0520715      0.295234     0.0519966   0.000714949   3.21628e-14             0      0.152577      0.234992      0.146598       1.84512       2.16369      0.182339      0.172876     0.0938576       2.82464       7.33075    0.00172516
