    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
    6300   6.76849e-06    0.00731876    0.00732553    0.00250175      0.499842      0.999683    0.00367926      0.288731    0.00367899   2.46781e-06  -1.10305e-06             0      0.038259      0.262634      0.218474       1.30438      0.691034       0.18323      0.172805     0.0924362       2.77127    -0.0100901   9.59734e-06
 6301.16   5.87755e-06    0.00621343    0.00621931    0.00250147      0.499879      0.999756    0.00342857      0.288721     0.0034284   2.05989e-06  -1.05196e-06             0     0.0352517      0.264259      0.220648       1.28457      0.711864      0.183068      0.172825      0.092538       2.77148   -0.00124698   8.49089e-06
 6302.09   5.62008e-06     0.0053479    0.00535352    0.00250135      0.499907      0.999812    0.00335263      0.288714    0.00335253   1.80605e-06  -9.96727e-07             0     0.0327044      0.265738      0.222576       1.26681      0.731238      0.182916      0.172844     0.0926343       2.77169    0.00869906   7.99324e-06
 6303.02   5.66649e-06    0.00463224     0.0046379     0.0025013      0.499929      0.999855    0.00336645       0.28871    0.00336639   1.63331e-06  -9.37256e-07             0     0.0304376      0.267152      0.224378       1.25002      0.749884      0.182765      0.172864     0.0927302       2.77192     0.0196943   7.78836e-06
 6304.19   5.88403e-06    0.00390804    0.00391393    0.00250129      0.499948      0.999893    0.00343046      0.288707    0.00343042   1.48719e-06  -8.60038e-07             0     0.0279573      0.268823      0.226463       1.23036      0.771804      0.182576       0.17289     0.0928497       2.77221     0.0336277   7.70279e-06
 6305.12   6.04775e-06    0.00343632    0.00344236    0.00250129      0.499958      0.999913    0.00347786      0.288706    0.00347783   1.40111e-06  -7.97823e-07             0     0.0262157      0.270081      0.228004       1.21564      0.788055      0.182425      0.172912     0.0929448       2.77247     0.0437445    7.6458e-06
 6306.05   6.13123e-06    0.00303872    0.00304486    0.00250129      0.499964      0.999926    0.00350178      0.288705    0.00350176   1.32633e-06   -7.3642e-07             0     0.0246525      0.271267      0.229442       1.20179       0.80309      0.182275      0.172934     0.0930397       2.77273     0.0521269   7.53251e-06
 6307.21    6.0809e-06    0.00262185    0.00262793    0.00250126      0.499969      0.999936    0.00348738      0.288704    0.00348736   1.23567e-06  -6.61975e-07             0     0.0228991      0.272651      0.231103       1.18564      0.820179      0.182088      0.172962     0.0931579       2.77308      0.059706   7.27001e-06
 6308.14   5.91496e-06    0.00233754    0.00234345    0.00250122      0.499971       0.99994    0.00343947      0.288703    0.00343945   1.16153e-06  -6.04905e-07             0     0.0216219      0.273681      0.232332       1.17361      0.832551      0.181938      0.172985     0.0932524       2.77337     0.0635562   6.95972e-06
 6309.07   5.65368e-06    0.00208715     0.0020928    0.00250117      0.499972      0.999942    0.00336264      0.288702    0.00336263   1.08656e-06  -5.50413e-07             0     0.0204311      0.274647      0.233479       1.16233      0.843864       0.18179      0.173009     0.0933467       2.77368     0.0657536    6.5751e-06
    6310   5.32082e-06    0.00186426    0.00186958     0.0025011      0.499973      0.999943    0.00326215        0.2887    0.00326214   1.01308e-06  -4.98715e-07             0     0.0193094       0.27555      0.234551       1.15176      0.854228      0.181641      0.173033      0.093441       2.77399     0.0666227   6.13871e-06
 6311.16   4.84392e-06    0.00161757    0.00162241      0.002501      0.499973      0.999945    0.00311253      0.288698    0.00311251   9.27323e-07  -4.38219e-07             0     0.0179865      0.276597      0.235792       1.13949       0.86602      0.181456      0.173065     0.0935589        2.7744     0.0662579    5.5585e-06
 6312.09   4.44385e-06    0.00144206     0.0014465    0.00250092      0.499974      0.999947    0.00298122      0.288697    0.00298121   8.66408e-07  -3.93206e-07             0     0.0169827      0.277373      0.236713       1.13039      0.874652      0.181309       0.17309     0.0936533       2.77475     0.0650649   5.09505e-06
 6313.02   4.05016e-06    0.00128372    0.00128777    0.00250084      0.499975      0.999948    0.00284611      0.288695    0.00284609   8.14246e-07  -3.51226e-07             0     0.0160232      0.278099      0.237574       1.12188      0.882672      0.181162      0.173116     0.0937477        2.7751     0.0632569   4.65357e-06
 6314.19   3.59177e-06     0.0011077    0.00111129    0.00250075      0.499976      0.999951    0.00268021      0.288693     0.0026802   7.63096e-07  -3.02999e-07             0     0.0148842      0.278941      0.238572       1.11202      0.891957      0.180979      0.173149     0.0938658       2.77555     0.0603575   4.15509e-06
 6315.12   3.26597e-06   0.000983033   0.000986299    0.00250068      0.499978      0.999954    0.00255577      0.288692    0.00255575   7.34087e-07  -2.67773e-07             0     0.0140217      0.279566      0.239313       1.10471      0.898871      0.180833      0.173176     0.0939604       2.77592      0.057691   3.81116e-06
 6316.05   2.98413e-06   0.000871667   0.000874651    0.00250063      0.499979      0.999956      0.002443      0.288691    0.00244299   7.15721e-07   -2.3547e-07             0     0.0132035       0.28015      0.240006       1.09788      0.905381      0.180687      0.173204     0.0940552        2.7763      0.054848   3.52212e-06
 6317.21   2.69853e-06   0.000749801     0.0007525    0.00250057       0.49998      0.999959    0.00232316      0.288689    0.00232314   7.07342e-07  -1.99087e-07             0     0.0122458      0.280829       0.24081       1.08998       0.91301      0.180505      0.173239     0.0941737       2.77679      0.051206   3.24109e-06
 6318.14   2.52417e-06   0.000665121   0.000667645    0.00250053      0.499981      0.999962    0.00224685      0.288688    0.00224684   7.11939e-07  -1.73069e-07             0     0.0115336      0.281332      0.241405       1.08412      0.918742       0.18036      0.173268     0.0942687       2.77718     0.0483286   3.08024e-06
